tweet_id	tweet_datetime	tweet_unixtime	artist_name	track_title	country
511	2012-02-09 02:12:46	1328749966	ColdFrapp	Melancholy Sky	GB
535	2012-02-09 02:17:04	1328750224	Coldplay	Life in Technicolor ii	GB
425	2012-08-01 21:00:37	1343847637	Coldplay	Life in Technicolor	GB
525	2012-03-29 03:52:34	1332985954	Conor Maynard	Can't Say No	GB
300	2012-02-09 01:39:51	1328747991	Corinne Bailey Rae	Like a Star	GB
958	2012-02-09 03:34:46	1328754886	D1	Sub Zero	GB
271	2012-02-09 01:35:28	1328747728	David Shrigley	Don'ts	GB
515	2012-03-29 03:50:13	1332985813	Dean Martin	Sway	GB
662	2012-03-29 04:16:38	1332987398	Delilah	Love You So	GB
342	2012-03-29 03:26:02	1332984362	Desireless	Voyage voyage	GB
856	2012-07-23 16:25:04	1343053504	Destiny's Child	Independent Woman	GB
615	2012-02-09 02:30:50	1328751050	Dire Straits	Walk of Life	GB
240	2012-02-09 01:31:12	1328747472	Django Django	Default	GB
242	2012-02-09 01:31:38	1328747498	Drugstore	El President	GB
927	2012-02-09 03:28:15	1328754495	DVA	Just Vybe	GB
294	2012-02-09 01:38:53	1328747933	DZ Deathrays	No Sleep	GB
738	2012-02-09 02:51:33	1328752293	Eddie Floyd	Knock on Wood	GB
899	2012-01-20 13:33:39	1327062819	Elbow	Open Arms	GB
338	2012-02-09 01:44:10	1328748250	Elbow	Open Arms	GB
27	2012-02-09 00:49:51	1328744991	Eugene McGuinness	Shotgun	GB
551	2012-08-01 21:28:57	1343849337	Fall Out Boy	Hum Hallelujah	GB
1008	2012-01-20 13:49:42	1327063782	Foster The People	Houdini	GB
978	2012-02-09 03:39:21	1328755161	Gabrielle	Give Me a Little More Time	GB
223	2012-02-09 01:26:48	1328747208	Gang Colours	Fancy Restaurant	GB
253	2012-02-09 01:33:14	1328747594	Gilles Peterson's Havana Cultura Band	Agita	GB
696	2012-03-29 04:21:21	1332987681	Giorgio	Together in Electric Dreams	GB
